Code,Area_name,Inner_Outer_London,Population,Area,Average_Age,Largest_migrant_population,Employment_rate,Median_income,Jobs_Density,Number_businesses,Crime_rate,Ambulance_incidents,Median_House_Price,New_Homes,Homes_Owned,Rented_HA,Rented_private,Greenspace,Carbon_emissions,Household_recycling,Cars_per_HH,Public_transport,Male_life_expectancy,Female_life_expectancy,Life_satisfaction,Council
E09000001,City of London,Inner London,8800,2.9,43.2,United States,64.6,"63,620",84.3,"26,130.00",NaN,NaN,799999,80,NaN,NaN,NaN,4.8,1036,34.4,0.4,7.9,NaN,NaN,6.6,NaN
E09000002,Barking and Dagenham,Outer London,209000,36.11,32.9,Nigeria,65.8,"29,420",0.5,"6,560.00",83.4,13.7,243500,730,16.4,35.9,20.3,33.6,644,23.4,0.8,3,77.6,82.1,7.1,Lab
E09000003,Barnet,Outer London,389600,86.75,37.3,India,68.5,"40,530",0.7,"26,190.00",62.7,11.1,445000,1460,32.4,11.1,31.1,41.3,1415,38,1.1,3,82.1,85.1,7.5,Cons
E09000004,Bexley,Outer London,244300,60.58,39,Nigeria,75.1,"36,990",0.6,"9,075.00",51.8,11.8,275000,-130,38.1,15.2,11.4,31.7,975,54,1.2,2.6,80.4,84.4,7.4,Cons
E09000005,Brent,Outer London,332100,43.23,35.6,India,69.5,"32,140",0.6,"15,745.00",78.8,12.1,407250,1050,22.2,20.4,34.8,21.9,1175,35.2,0.8,3.7,80.1,85.1,7.3,Lab
E09000006,Bromley,Outer London,327900,150.13,40.2,India,75.3,"43,060",0.6,"15,695.00",64.1,11.2,374975,700,37.8,13.2,14.1,57.8,1180,48,1.2,2.8,81.4,84.9,7.5,Cons
E09000007,Camden,Inner London,242500,21.79,36.4,United States,69.2,"43,750",2.2,"31,385.00",123.5,14.8,700000,970,18.5,34.4,32,24.8,1288,26.3,0.5,5.7,81.8,86.7,7.1,Lab
E09000008,Croydon,Outer London,386500,86.5,37,India,75.4,"37,000",0.6,"15,540.00",77,12.8,300000,2040,30.8,16.7,18.6,37.1,1237,39.9,1,3.2,80.3,83.6,7.1,Lab
E09000009,Ealing,Outer London,351600,55.54,36.2,India,72.7,"36,070",0.7,"18,700.00",75.5,11.3,430000,720,20.1,14.3,35,30.9,1342,40.1,0.9,3.3,80.6,84.2,7.3,Lab
E09000010,Enfield,Outer London,333000,80.83,36.3,Turkey,73,"33,110",0.6,"13,925.00",69.4,12.2,320000,670,25.6,17.2,21,45.6,1245,38.5,1,3,80.7,84.1,7.3,Lab
E09000011,Greenwich,Outer London,280100,47.33,35,Nigeria,72.1,"35,350",0.5,"10,060.00",79.4,11.9,340000,1720,19.2,34.2,19.7,34.4,1014,34.3,0.8,3.4,79,82.5,7.2,Lab
